DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
1.0,5.48711441,1.1e-05,-1.1e-05,356.0773,0.00145,-0.00145,0.812,0.033,-0.562,2.93,0.066,-0.066,1330.0,27.5,-27.5,3.24,0.21,-0.16,836.0,115.29,26.09,-19.15,51.9,1.0,5103.0,101.0,-101.0,4.562,0.032,-0.048,0.787,0.051,-0.039,299.22433,40.343182,15.812,1,2
0.987,6.1082945,0.000101,-0.000101,131.8756,0.0145,-0.0145,0.63,0.349,-0.421,3.493,0.337,-0.337,61.1,6.8,-6.8,1.06,0.35,-0.13,1267.0,608.39,585.94,-199.04,10.8,1.0,6720.0,164.0,-234.0,4.316,0.084,-0.21,1.289,0.432,-0.154,295.17538,45.930908,13.606,1,2
0.0,0.697996932,4.3e-07,-4.3e-07,132.136059,0.000549,-0.000549,1.244,0.132,-0.089,4.3323,0.0367,-0.0367,9090.0,47.6,-47.6,28.06,3.92,-2.3,1604.0,1560.69,761.29,-418.21,244.1,1.0,5176.0,179.0,-179.0,4.636,0.033,-0.083,0.695,0.097,-0.057,299.33234,40.69503,15.859,0,0
0.0,1.98663794,1.25e-05,-1.25e-05,133.311523,0.000833,-0.000833,1.105,0.104,-0.087,4.7585,0.039,-0.039,63200.0,407.0,-407.0,134.5,41.4,-50.5,3234.0,25932.61,24171.72,-17588.61,193.0,1.0,9191.0,286.0,-430.0,3.973,0.237,-0.172,2.619,0.805,-0.984,291.85333,42.30669,14.726,0,0
0.999,9.43414171,2.14e-05,-2.14e-05,177.84346,0.00177,-0.00177,0.538,0.046,-0.434,2.8112,0.0775,-0.0775,3980.0,116.0,-116.0,5.73,0.78,-0.33,791.0,92.39,35.49,-16.67,40.2,1.0,5578.0,100.0,-111.0,4.518,0.035,-0.105,0.886,0.12,-0.051,289.22617,49.548199,11.582,1,2
1.0,11.55532445,7.61e-05,-7.61e-05,134.12977,0.00544,-0.00544,0.96,0.033,-0.7,3.499,0.121,-0.121,250.0,17.8,-17.8,1.7,0.21,-0.18,674.0,48.88,20.15,-14.53,16.1,1.0,5149.0,153.0,-153.0,4.506,0.093,-0.085,0.803,0.097,-0.088,281.29855,42.685749,14.598,1,2
0.0,10.16104834,2.9e-05,-2.9e-05,141.51593,0.00262,-0.00262,0.031,0.393,-0.031,3.0448,0.0644,-0.0644,909.0,27.5,-27.5,2.72,0.71,-0.32,800.0,96.98,77.92,-31.22,36.8,1.0,5636.0,186.0,-186.0,4.462,0.094,-0.175,0.913,0.236,-0.109,290.73578,44.090488,15.047,0,0
0.0,3.951405455,2.26e-06,-2.26e-06,173.276125,0.000454,-0.000454,1.276,6.027,-0.214,2.1862,0.0267,-0.0267,2450.0,25.2,-25.2,31.44,8.94,-2.96,1133.0,388.71,333.12,-106.59,117.2,1.0,6046.0,182.0,-182.0,4.539,0.048,-0.204,0.869,0.247,-0.082,295.50439,40.505489,15.446,0,0
0.954,19.4534296,0.000382,-0.000382,139.3373,0.0188,-0.0188,0.046,0.398,-0.046,4.873,0.51,-0.51,149.0,17.8,-17.8,1.25,0.38,-0.17,744.0,72.59,65.57,-25.64,9.8,1.0,6372.0,176.0,-242.0,4.453,0.054,-0.216,1.015,0.311,-0.133,291.50589,41.550388,14.518,1,1
0.0,1.031100362,1.08e-06,-1.08e-06,131.87473,0.00118,-0.00118,0.293,0.053,-0.156,2.9759,0.0399,-0.0399,129000.0,960.0,-960.0,27.35,5.71,-2.44,1584.0,1491.65,979.99,-421.24,178.5,1.0,5666.0,181.0,-202.0,4.601,0.036,-0.135,0.752,0.157,-0.067,296.14957,47.937832,17.022,0,0
